# BEGIN PLOT
Legend=1
LogY=1
XLabel=$p_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}^2\sigma / \mathrm{d}p_\mathrm{T}\mathrm{d}y$ [pb/GeV]
LogX=1
Title=Inclusive jet cross section ($1.0 \leq |y| < 1.5$), $R = 0.4$
DrawOnly=/ATLAS_2017_I1604271/d09-x01-y01 //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d09-x01-y01 //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d09-x01-y01
LegendOnly=/ATLAS_2017_I1604271/d09-x01-y01 //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d09-x01-y01 //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d09-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2017_I1604271/d09-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2017_I1604271/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2017_I1604271/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	2.205500e+04	1.781091e+03	1.873828e+03
8.500000e+01	1.000000e+02	9.403600e+03	6.635152e+02	7.055630e+02
1.000000e+02	1.160000e+02	4.303220e+03	2.733570e+02	2.872287e+02
1.160000e+02	1.340000e+02	2.005240e+03	1.180173e+02	1.205520e+02
1.340000e+02	1.520000e+02	9.784600e+02	5.455016e+01	5.531243e+01
1.520000e+02	1.720000e+02	5.018960e+02	2.693131e+01	2.758328e+01
1.720000e+02	1.940000e+02	2.551960e+02	1.354234e+01	1.381705e+01
1.940000e+02	2.160000e+02	1.338400e+02	7.025859e+00	7.151444e+00
2.160000e+02	2.400000e+02	7.287000e+01	3.762669e+00	3.825736e+00
2.400000e+02	2.640000e+02	4.077500e+01	2.059527e+00	2.080162e+00
2.640000e+02	2.900000e+02	2.317400e+01	1.152247e+00	1.157695e+00
2.900000e+02	3.180000e+02	1.322700e+01	6.540221e-01	6.570146e-01
3.180000e+02	3.460000e+02	7.813000e+00	3.861828e-01	3.903652e-01
3.460000e+02	3.760000e+02	4.648100e+00	2.313683e-01	2.347294e-01
3.760000e+02	4.080000e+02	2.730500e+00	1.387200e-01	1.406232e-01
4.080000e+02	4.420000e+02	1.619400e+00	8.537337e-02	8.657422e-02
4.420000e+02	4.780000e+02	9.543000e-01	5.302099e-02	5.379656e-02
4.780000e+02	5.160000e+02	5.594100e-01	3.306620e-02	3.342276e-02
5.160000e+02	5.560000e+02	3.279400e-01	2.065022e-02	2.077416e-02
5.560000e+02	5.980000e+02	1.917300e-01	1.267848e-02	1.278553e-02
5.980000e+02	6.420000e+02	1.107000e-01	7.568661e-03	7.699627e-03
6.420000e+02	6.880000e+02	6.426100e-02	4.515169e-03	4.616079e-03
6.880000e+02	7.360000e+02	3.641700e-02	2.637644e-03	2.691499e-03
7.360000e+02	7.860000e+02	2.055200e-02	1.543227e-03	1.572238e-03
7.860000e+02	8.380000e+02	1.147200e-02	8.948925e-04	9.159622e-04
8.380000e+02	8.940000e+02	6.320000e-03	5.128685e-04	5.304990e-04
8.940000e+02	9.520000e+02	3.353000e-03	2.844913e-04	2.974516e-04
9.520000e+02	1.012000e+03	1.755700e-03	1.568092e-04	1.644587e-04
1.012000e+03	1.076000e+03	9.010000e-04	8.533940e-05	8.882060e-05
1.076000e+03	1.162000e+03	3.786000e-04	3.865423e-05	3.951147e-05
1.162000e+03	1.310000e+03	1.074000e-04	1.247315e-05	1.244738e-05
1.310000e+03	1.992000e+03	4.880000e-06	9.859786e-07	9.933342e-07
# END HISTO1D


# BEGIN HISTO1D //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d09-x01-y01
LineColor=red
LineStyle=solid
Path=//host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d09-x01-y01
ScaledBy=9.69292990000000032e+02
Title=flat
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	2.546009e+04	1.282661e+03	1.282661e+03
8.500000e+01	1.000000e+02	1.085608e+04	8.375650e+02	8.375650e+02
1.000000e+02	1.160000e+02	5.088788e+03	5.552323e+02	5.552323e+02
1.160000e+02	1.340000e+02	3.015578e+03	4.029736e+02	4.029736e+02
1.340000e+02	1.520000e+02	1.184692e+03	2.525771e+02	2.525771e+02
1.520000e+02	1.720000e+02	6.785050e+02	1.813381e+02	1.813381e+02
1.720000e+02	1.940000e+02	2.202939e+02	9.851842e+01	9.851842e+01
1.940000e+02	2.160000e+02	1.321763e+02	7.631204e+01	7.631204e+01
2.160000e+02	2.400000e+02	8.077442e+01	5.711614e+01	5.711614e+01
2.400000e+02	2.640000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.640000e+02	2.900000e+02	7.456100e+01	5.272259e+01	5.272259e+01
2.900000e+02	3.180000e+02	3.461761e+01	3.461761e+01	3.461761e+01
3.180000e+02	3.460000e+02	3.461761e+01	3.461761e+01	3.461761e+01
3.460000e+02	3.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.760000e+02	4.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.080000e+02	4.420000e+02	2.850862e+01	2.850862e+01	2.850862e+01
4.420000e+02	4.780000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.780000e+02	5.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.160000e+02	5.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.560000e+02	5.980000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.980000e+02	6.420000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.420000e+02	6.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.880000e+02	7.360000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.360000e+02	7.860000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.860000e+02	8.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.380000e+02	8.940000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.940000e+02	9.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.520000e+02	1.012000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.012000e+03	1.076000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.076000e+03	1.162000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.162000e+03	1.310000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.310000e+03	1.992000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d09-x01-y01
LineColor=blue
LineStyle=solid
Path=//host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d09-x01-y01
ScaledBy=6.58718750237914264e+03
Title=bias
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	2.778083e+04	1.853817e+03	1.853817e+03
8.500000e+01	1.000000e+02	1.173951e+04	1.018873e+03	1.018873e+03
1.000000e+02	1.160000e+02	5.326081e+03	4.721109e+02	4.721109e+02
1.160000e+02	1.340000e+02	2.282163e+03	2.251262e+02	2.251262e+02
1.340000e+02	1.520000e+02	1.519797e+03	1.895785e+02	1.895785e+02
1.520000e+02	1.720000e+02	5.861940e+02	6.050178e+01	6.050178e+01
1.720000e+02	1.940000e+02	3.177638e+02	3.027925e+01	3.027925e+01
1.940000e+02	2.160000e+02	1.743604e+02	2.036637e+01	2.036637e+01
2.160000e+02	2.400000e+02	8.996983e+01	1.008935e+01	1.008935e+01
2.400000e+02	2.640000e+02	4.291379e+01	5.951240e+00	5.951240e+00
2.640000e+02	2.900000e+02	2.343670e+01	3.198531e+00	3.198531e+00
2.900000e+02	3.180000e+02	1.823215e+01	2.567801e+00	2.567801e+00
3.180000e+02	3.460000e+02	7.818250e+00	1.151799e+00	1.151799e+00
3.460000e+02	3.760000e+02	5.361657e+00	7.515738e-01	7.515738e-01
3.760000e+02	4.080000e+02	3.591641e+00	5.339300e-01	5.339300e-01
4.080000e+02	4.420000e+02	1.232271e+00	2.167035e-01	2.167035e-01
4.420000e+02	4.780000e+02	1.384719e+00	2.796103e-01	2.796103e-01
4.780000e+02	5.160000e+02	8.370434e-01	1.519029e-01	1.519029e-01
5.160000e+02	5.560000e+02	2.578142e-01	5.836939e-02	5.836939e-02
5.560000e+02	5.980000e+02	2.988805e-01	7.782717e-02	7.782717e-02
5.980000e+02	6.420000e+02	1.429458e-01	3.287636e-02	3.287636e-02
6.420000e+02	6.880000e+02	6.177904e-02	1.817742e-02	1.817742e-02
6.880000e+02	7.360000e+02	5.406600e-02	1.482531e-02	1.482531e-02
7.360000e+02	7.860000e+02	2.382434e-02	7.262809e-03	7.262809e-03
7.860000e+02	8.380000e+02	5.354135e-03	3.114165e-03	3.114165e-03
8.380000e+02	8.940000e+02	6.160557e-03	2.565004e-03	2.565004e-03
8.940000e+02	9.520000e+02	5.281624e-03	5.281624e-03	5.281624e-03
9.520000e+02	1.012000e+03	4.175015e-03	1.713187e-03	1.713187e-03
1.012000e+03	1.076000e+03	2.042884e-03	1.022592e-03	1.022592e-03
1.076000e+03	1.162000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.162000e+03	1.310000e+03	1.080611e-04	1.080611e-04	1.080611e-04
1.310000e+03	1.992000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

