# BEGIN PLOT
Legend=1
LogY=1
XLabel=$p_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}^2\sigma / \mathrm{d}p_\mathrm{T}\mathrm{d}y$ [pb/GeV]
LogX=1
Title=Inclusive jet cross section ($1.0 \leq |y| < 1.5$), $R = 0.6$
DrawOnly=/ATLAS_2017_I1604271/d03-x01-y01 //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d03-x01-y01 //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d03-x01-y01
LegendOnly=/ATLAS_2017_I1604271/d03-x01-y01 //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d03-x01-y01 //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d03-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2017_I1604271/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2017_I1604271/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2017_I1604271/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	3.055730e+04	3.298294e+03	3.450501e+03
8.500000e+01	1.000000e+02	1.245270e+04	1.173026e+03	1.210347e+03
1.000000e+02	1.160000e+02	5.745300e+03	4.860107e+02	5.002502e+02
1.160000e+02	1.340000e+02	2.630590e+03	1.995368e+02	2.048367e+02
1.340000e+02	1.520000e+02	1.263800e+03	8.882679e+01	9.050247e+01
1.520000e+02	1.720000e+02	6.388800e+02	4.195624e+01	4.273236e+01
1.720000e+02	1.940000e+02	3.195430e+02	2.012867e+01	2.046227e+01
1.940000e+02	2.160000e+02	1.656980e+02	1.021993e+01	1.030536e+01
2.160000e+02	2.400000e+02	9.026000e+01	5.467561e+00	5.556300e+00
2.400000e+02	2.640000e+02	4.984400e+01	2.941670e+00	3.026392e+00
2.640000e+02	2.900000e+02	2.820500e+01	1.637071e+00	1.684837e+00
2.900000e+02	3.180000e+02	1.591900e+01	9.079186e-01	9.317117e-01
3.180000e+02	3.460000e+02	9.281000e+00	5.252856e-01	5.364857e-01
3.460000e+02	3.760000e+02	5.500900e+00	3.131397e-01	3.182154e-01
3.760000e+02	4.080000e+02	3.210200e+00	1.881120e-01	1.909032e-01
4.080000e+02	4.420000e+02	1.873100e+00	1.146989e-01	1.166662e-01
4.420000e+02	4.780000e+02	1.110100e+00	7.134760e-02	7.274672e-02
4.780000e+02	5.160000e+02	6.558000e-01	4.454346e-02	4.533933e-02
5.160000e+02	5.560000e+02	3.807400e-01	2.712046e-02	2.750083e-02
5.560000e+02	5.980000e+02	2.207200e-01	1.618063e-02	1.640194e-02
5.980000e+02	6.420000e+02	1.279600e-01	9.601609e-03	9.767407e-03
6.420000e+02	6.880000e+02	7.427000e-02	5.679798e-03	5.816668e-03
6.880000e+02	7.360000e+02	4.212100e-02	3.280220e-03	3.390403e-03
7.360000e+02	7.860000e+02	2.394300e-02	1.906541e-03	1.989877e-03
7.860000e+02	8.380000e+02	1.332900e-02	1.093514e-03	1.150025e-03
8.380000e+02	8.940000e+02	7.287000e-03	6.207089e-04	6.553038e-04
8.940000e+02	9.520000e+02	3.872000e-03	3.447327e-04	3.634558e-04
9.520000e+02	1.012000e+03	1.999700e-03	1.873932e-04	1.959217e-04
1.012000e+03	1.076000e+03	1.020500e-03	1.016355e-04	1.046886e-04
1.076000e+03	1.162000e+03	4.429000e-04	4.768496e-05	4.814301e-05
1.162000e+03	1.310000e+03	1.189000e-04	1.458167e-05	1.443367e-05
1.310000e+03	1.992000e+03	5.370000e-06	1.130107e-06	1.202976e-06
# END HISTO1D


# BEGIN HISTO1D //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d03-x01-y01
ScaledBy=9.69292990000000032e+02
Title=flat
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	3.392525e+04	1.480620e+03	1.480620e+03
8.500000e+01	1.000000e+02	1.376396e+04	9.430911e+02	9.430911e+02
1.000000e+02	1.160000e+02	6.542725e+03	6.295742e+02	6.295742e+02
1.160000e+02	1.340000e+02	4.038721e+03	4.663513e+02	4.663513e+02
1.340000e+02	1.520000e+02	1.615488e+03	2.949465e+02	2.949465e+02
1.520000e+02	1.720000e+02	8.238990e+02	1.998249e+02	1.998249e+02
1.720000e+02	1.940000e+02	1.762351e+02	8.811755e+01	8.811755e+01
1.940000e+02	2.160000e+02	1.762351e+02	8.811755e+01	8.811755e+01
2.160000e+02	2.400000e+02	8.077442e+01	5.711614e+01	5.711614e+01
2.400000e+02	2.640000e+02	4.038721e+01	4.038721e+01	4.038721e+01
2.640000e+02	2.900000e+02	3.728050e+01	3.728050e+01	3.728050e+01
2.900000e+02	3.180000e+02	1.038528e+02	5.995946e+01	5.995946e+01
3.180000e+02	3.460000e+02	3.461761e+01	3.461761e+01	3.461761e+01
3.460000e+02	3.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.760000e+02	4.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.080000e+02	4.420000e+02	2.850862e+01	2.850862e+01	2.850862e+01
4.420000e+02	4.780000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.780000e+02	5.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.160000e+02	5.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.560000e+02	5.980000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.980000e+02	6.420000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.420000e+02	6.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.880000e+02	7.360000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.360000e+02	7.860000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.860000e+02	8.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.380000e+02	8.940000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.940000e+02	9.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.520000e+02	1.012000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.012000e+03	1.076000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.076000e+03	1.162000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.162000e+03	1.310000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.310000e+03	1.992000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d03-x01-y01
LineColor=blue
LineStyle=solid
Path=//host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d03-x01-y01
ScaledBy=6.58718750237914264e+03
Title=bias
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	3.843285e+04	2.374406e+03	2.374406e+03
8.500000e+01	1.000000e+02	1.593071e+04	1.236744e+03	1.236744e+03
1.000000e+02	1.160000e+02	7.505575e+03	6.686530e+02	6.686530e+02
1.160000e+02	1.340000e+02	3.341536e+03	3.098026e+02	3.098026e+02
1.340000e+02	1.520000e+02	1.784234e+03	2.064593e+02	2.064593e+02
1.520000e+02	1.720000e+02	7.614005e+02	7.268765e+01	7.268765e+01
1.720000e+02	1.940000e+02	3.799539e+02	3.559667e+01	3.559667e+01
1.940000e+02	2.160000e+02	2.043565e+02	2.443557e+01	2.443557e+01
2.160000e+02	2.400000e+02	1.289489e+02	1.448290e+01	1.448290e+01
2.400000e+02	2.640000e+02	5.556567e+01	6.779998e+00	6.779998e+00
2.640000e+02	2.900000e+02	2.772243e+01	3.590283e+00	3.590283e+00
2.900000e+02	3.180000e+02	2.003877e+01	2.520593e+00	2.520593e+00
3.180000e+02	3.460000e+02	1.161964e+01	1.897762e+00	1.897762e+00
3.460000e+02	3.760000e+02	6.984683e+00	9.212654e-01	9.212654e-01
3.760000e+02	4.080000e+02	3.622553e+00	5.540495e-01	5.540495e-01
4.080000e+02	4.420000e+02	1.980251e+00	3.160811e-01	3.160811e-01
4.420000e+02	4.780000e+02	1.364865e+00	2.818415e-01	2.818415e-01
4.780000e+02	5.160000e+02	8.467203e-01	1.420334e-01	1.420334e-01
5.160000e+02	5.560000e+02	3.690007e-01	9.383566e-02	9.383566e-02
5.560000e+02	5.980000e+02	3.514529e-01	8.078940e-02	8.078940e-02
5.980000e+02	6.420000e+02	1.601650e-01	3.662475e-02	3.662475e-02
6.420000e+02	6.880000e+02	9.602485e-02	2.361630e-02	2.361630e-02
6.880000e+02	7.360000e+02	5.491679e-02	1.502574e-02	1.502574e-02
7.360000e+02	7.860000e+02	2.872508e-02	8.043827e-03	8.043827e-03
7.860000e+02	8.380000e+02	7.171662e-03	3.605749e-03	3.605749e-03
8.380000e+02	8.940000e+02	6.160557e-03	2.565004e-03	2.565004e-03
8.940000e+02	9.520000e+02	6.140814e-03	5.351052e-03	5.351052e-03
9.520000e+02	1.012000e+03	2.955885e-03	1.480239e-03	1.480239e-03
1.012000e+03	1.076000e+03	3.185819e-03	1.303654e-03	1.303654e-03
1.076000e+03	1.162000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.162000e+03	1.310000e+03	1.080611e-04	1.080611e-04	1.080611e-04
1.310000e+03	1.992000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

