# BEGIN PLOT
Legend=1
LogY=1
XLabel=$p_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}^2\sigma / \mathrm{d}p_\mathrm{T}\mathrm{d}y$ [pb/GeV]
LogX=1
Title=Inclusive jet cross section ($0.5 \leq |y| < 1.0$), $R = 0.4$
DrawOnly=/ATLAS_2017_I1604271/d08-x01-y01 //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d08-x01-y01 //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d08-x01-y01
LegendOnly=/ATLAS_2017_I1604271/d08-x01-y01 //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d08-x01-y01 //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d08-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2017_I1604271/d08-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2017_I1604271/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2017_I1604271/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	2.475480e+04	1.840531e+03	1.910934e+03
8.500000e+01	1.000000e+02	1.053360e+04	6.907741e+02	7.203239e+02
1.000000e+02	1.160000e+02	4.892470e+03	2.931007e+02	3.028649e+02
1.160000e+02	1.340000e+02	2.305900e+03	1.297221e+02	1.294388e+02
1.340000e+02	1.520000e+02	1.143450e+03	6.135468e+01	6.033255e+01
1.520000e+02	1.720000e+02	5.891500e+02	3.027087e+01	3.017111e+01
1.720000e+02	1.940000e+02	3.065840e+02	1.543255e+01	1.544483e+01
1.940000e+02	2.160000e+02	1.622200e+02	7.989493e+00	8.076038e+00
2.160000e+02	2.400000e+02	9.023000e+01	4.341494e+00	4.500262e+00
2.400000e+02	2.640000e+02	5.073100e+01	2.413811e+00	2.522731e+00
2.640000e+02	2.900000e+02	2.947500e+01	1.391754e+00	1.427481e+00
2.900000e+02	3.180000e+02	1.719700e+01	8.012060e-01	8.023628e-01
3.180000e+02	3.460000e+02	1.026800e+01	4.771325e-01	4.718204e-01
3.460000e+02	3.760000e+02	6.275000e+00	2.937153e-01	2.918365e-01
3.760000e+02	4.080000e+02	3.765900e+00	1.788973e-01	1.807310e-01
4.080000e+02	4.420000e+02	2.281680e+00	1.120402e-01	1.140364e-01
4.420000e+02	4.780000e+02	1.393000e+00	7.159422e-02	7.248747e-02
4.780000e+02	5.160000e+02	8.504000e-01	4.570230e-02	4.614243e-02
5.160000e+02	5.560000e+02	5.223200e-01	2.934920e-02	2.967239e-02
5.560000e+02	5.980000e+02	3.189900e-01	1.863905e-02	1.885614e-02
5.980000e+02	6.420000e+02	1.950400e-01	1.176511e-02	1.193295e-02
6.420000e+02	6.880000e+02	1.192700e-01	7.372520e-03	7.526077e-03
6.880000e+02	7.360000e+02	7.339200e-02	4.624209e-03	4.752168e-03
7.360000e+02	7.860000e+02	4.488600e-02	2.880938e-03	2.970568e-03
7.860000e+02	8.380000e+02	2.754700e-02	1.806786e-03	1.863176e-03
8.380000e+02	8.940000e+02	1.659700e-02	1.117672e-03	1.150319e-03
8.940000e+02	9.520000e+02	9.971000e-03	6.896918e-04	7.072494e-04
9.520000e+02	1.012000e+03	5.843000e-03	4.149975e-04	4.236332e-04
1.012000e+03	1.076000e+03	3.391000e-03	2.469684e-04	2.513575e-04
1.076000e+03	1.162000e+03	1.841500e-03	1.383273e-04	1.408935e-04
1.162000e+03	1.310000e+03	7.532000e-04	6.004394e-05	6.145461e-05
1.310000e+03	1.530000e+03	1.621000e-04	1.531761e-05	1.559943e-05
1.530000e+03	2.500000e+03	6.250000e-06	1.052988e-06	1.065298e-06
# END HISTO1D


# BEGIN HISTO1D //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d08-x01-y01
LineColor=red
LineStyle=solid
Path=//host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d08-x01-y01
ScaledBy=9.69292990000000032e+02
Title=flat
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	2.978961e+04	1.387440e+03	1.387440e+03
8.500000e+01	1.000000e+02	1.253619e+04	9.000459e+02	9.000459e+02
1.000000e+02	1.160000e+02	5.694596e+03	5.873528e+02	5.873528e+02
1.160000e+02	1.340000e+02	2.261684e+03	3.489853e+02	3.489853e+02
1.340000e+02	1.520000e+02	9.692928e+02	2.284645e+02	2.284645e+02
1.520000e+02	1.720000e+02	8.723635e+02	2.056181e+02	2.056181e+02
1.720000e+02	1.940000e+02	2.202939e+02	9.851842e+01	9.851842e+01
1.940000e+02	2.160000e+02	4.405877e+01	4.405877e+01	4.405877e+01
2.160000e+02	2.400000e+02	1.615488e+02	8.077442e+01	8.077442e+01
2.400000e+02	2.640000e+02	4.038721e+01	4.038721e+01	4.038721e+01
2.640000e+02	2.900000e+02	3.728050e+01	3.728050e+01	3.728050e+01
2.900000e+02	3.180000e+02	3.461761e+01	3.461761e+01	3.461761e+01
3.180000e+02	3.460000e+02	3.461761e+01	3.461761e+01	3.461761e+01
3.460000e+02	3.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.760000e+02	4.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.080000e+02	4.420000e+02	2.850862e+01	2.850862e+01	2.850862e+01
4.420000e+02	4.780000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.780000e+02	5.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.160000e+02	5.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
