# BEGIN PLOT
Legend=1
LogY=1
XLabel=$p_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}^2\sigma / \mathrm{d}p_\mathrm{T}\mathrm{d}y$ [pb/GeV]
LogX=1
Title=Inclusive jet cross section ($|y| < 0.5$), $R = 0.6$
DrawOnly=/ATLAS_2017_I1604271/d01-x01-y01 //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d01-x01-y01 //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d01-x01-y01
LegendOnly=/ATLAS_2017_I1604271/d01-x01-y01 //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d01-x01-y01 //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d01-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2017_I1604271/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2017_I1604271/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2017_I1604271/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	3.699400e+04	3.419450e+03	3.627015e+03
8.500000e+01	1.000000e+02	1.540560e+04	1.222332e+03	1.295966e+03
1.000000e+02	1.160000e+02	7.009400e+03	5.073985e+02	5.279822e+02
1.160000e+02	1.340000e+02	3.319540e+03	2.197320e+02	2.269282e+02
1.340000e+02	1.520000e+02	1.627690e+03	1.014429e+02	1.048496e+02
1.520000e+02	1.720000e+02	8.225200e+02	4.917103e+01	5.030899e+01
1.720000e+02	1.940000e+02	4.216670e+02	2.468833e+01	2.516411e+01
1.940000e+02	2.160000e+02	2.232640e+02	1.283044e+01	1.310735e+01
2.160000e+02	2.400000e+02	1.238800e+02	7.004531e+00	7.090518e+00
2.400000e+02	2.640000e+02	6.953000e+01	3.812946e+00	3.839044e+00
2.640000e+02	2.900000e+02	4.025400e+01	2.138542e+00	2.175513e+00
2.900000e+02	3.180000e+02	2.306200e+01	1.194735e+00	1.229141e+00
3.180000e+02	3.460000e+02	1.362600e+01	7.016121e-01	7.205001e-01
3.460000e+02	3.760000e+02	8.337000e+00	4.298133e-01	4.394897e-01
3.760000e+02	4.080000e+02	5.156900e+00	2.699984e-01	2.755943e-01
4.080000e+02	4.420000e+02	3.113400e+00	1.688590e-01	1.715773e-01
4.420000e+02	4.780000e+02	1.892200e+00	1.073580e-01	1.084588e-01
4.780000e+02	5.160000e+02	1.163500e+00	6.935777e-02	6.995704e-02
5.160000e+02	5.560000e+02	7.111000e-01	4.405311e-02	4.464619e-02
5.560000e+02	5.980000e+02	4.427900e-01	2.798066e-02	2.857567e-02
5.980000e+02	6.420000e+02	2.742800e-01	1.757819e-02	1.803741e-02
6.420000e+02	6.880000e+02	1.704300e-01	1.103738e-02	1.131532e-02
6.880000e+02	7.360000e+02	1.061400e-01	6.931681e-03	7.081481e-03
7.360000e+02	7.860000e+02	6.661000e-02	4.378937e-03	4.467355e-03
7.860000e+02	8.380000e+02	4.132200e-02	2.735705e-03	2.796599e-03
8.380000e+02	8.940000e+02	2.544300e-02	1.703805e-03	1.747400e-03
8.940000e+02	9.520000e+02	1.569100e-02	1.069003e-03	1.098066e-03
9.520000e+02	1.012000e+03	9.639000e-03	6.700956e-04	6.883206e-04
1.012000e+03	1.076000e+03	5.995000e-03	4.262392e-04	4.375947e-04
1.076000e+03	1.162000e+03	3.448000e-03	2.530181e-04	2.594975e-04
1.162000e+03	1.310000e+03	1.477500e-03	1.154967e-04	1.186812e-04
1.310000e+03	1.530000e+03	3.872000e-04	3.476174e-05	3.609094e-05
1.530000e+03	1.992000e+03	5.009000e-05	6.369184e-06	6.549367e-06
1.992000e+03	2.500000e+03	1.420000e-06	7.397056e-07	8.620756e-07
# END HISTO1D


# BEGIN HISTO1D //host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//host/pp8TeV-flat.yoda/ATLAS_2017_I1604271/d01-x01-y01
ScaledBy=9.69292990000000032e+02
Title=flat
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	4.297199e+04	1.666382e+03	1.666382e+03
8.500000e+01	1.000000e+02	1.744727e+04	1.061807e+03	1.061807e+03
1.000000e+02	1.160000e+02	9.390025e+03	7.542251e+02	7.542251e+02
1.160000e+02	1.340000e+02	4.038721e+03	4.663513e+02	4.663513e+02
1.340000e+02	1.520000e+02	2.100135e+03	3.362907e+02	3.362907e+02
1.520000e+02	1.720000e+02	1.017758e+03	2.220929e+02	2.220929e+02
1.720000e+02	1.940000e+02	4.846464e+02	1.461264e+02	1.461264e+02
1.940000e+02	2.160000e+02	4.405877e+01	4.405877e+01	4.405877e+01
2.160000e+02	2.400000e+02	8.077442e+01	5.711614e+01	5.711614e+01
2.400000e+02	2.640000e+02	2.019360e+02	9.030855e+01	9.030855e+01
2.640000e+02	2.900000e+02	3.728050e+01	3.728050e+01	3.728050e+01
2.900000e+02	3.180000e+02	3.461761e+01	3.461761e+01	3.461761e+01
3.180000e+02	3.460000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.460000e+02	3.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.760000e+02	4.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.080000e+02	4.420000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.420000e+02	4.780000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.780000e+02	5.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.160000e+02	5.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.560000e+02	5.980000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.980000e+02	6.420000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.420000e+02	6.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.880000e+02	7.360000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.360000e+02	7.860000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.860000e+02	8.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.380000e+02	8.940000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.940000e+02	9.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.520000e+02	1.012000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.012000e+03	1.076000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.076000e+03	1.162000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.162000e+03	1.310000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.310000e+03	1.530000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.530000e+03	1.992000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.992000e+03	2.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d01-x01-y01
LineColor=blue
LineStyle=solid
Path=//host/pp8TeV-bias.yoda/ATLAS_2017_I1604271/d01-x01-y01
ScaledBy=6.58718750237914264e+03
Title=bias
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.500000e+01	3.804043e+04	2.316950e+03	2.316950e+03
8.500000e+01	1.000000e+02	2.047327e+04	1.556049e+03	1.556049e+03
1.000000e+02	1.160000e+02	8.392031e+03	7.307811e+02	7.307811e+02
1.160000e+02	1.340000e+02	3.685283e+03	3.085194e+02	3.085194e+02
1.340000e+02	1.520000e+02	1.819673e+03	1.525415e+02	1.525415e+02
1.520000e+02	1.720000e+02	1.073241e+03	8.758988e+01	8.758988e+01
